% Model:              modelG_beltrami.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 28 2017, 20:38
% Table:              Tabelle 1 - sigma_eff ((dflux.u21-dflux.u22)*2*pi/(pi*L^2)/E0/(2*mu*c0))
% w                                               Normalized effective conductivity
0.1                                               0.9990156000766657+5.075430385513149E-9i
0.1263848202934298                                0.9990156000970934+6.414393276549005E-9i
0.15973122800602543                               0.9990156001297515+8.106455739921015E-9i
0.2018760254679039                                0.9990156001819718+1.0244595899966E-8i
0.25514065200312885                               0.9990156002652552+1.2946132097008036E-8i
0.32245905452963947                               0.9990156003983454+1.635895530995524E-8i
0.4075392965871777                                0.999015600610711+2.066920477154579E-8i
0.5150678076168125                                0.9990156009497082+2.6110571575886567E-8i
0.6509675230458171                                0.9990156014904763+3.29752775574764E-8i
0.822724134170047                                 0.9990156023525274+4.162636487411678E-8i
1.03979841848149                                  0.999015603724749+5.251010280943896E-8i
1.3141473626117568                                0.9990156059052436+6.61655598044424E-8i
1.6608827826277157                                0.9990156093591673+8.322486908981992E-8i
2.0991037201085545                                0.9990156148040343+1.0439140494835019E-7i
2.6529484644318972                                0.9990156233237517+1.3037218371821284E-7i
3.3529241492495583                                0.9990156365031397+1.6172503186838417E-7i
4.237587160604064                                 0.9990156565394809+1.9856492261995327E-7i
5.355666917706899                                 0.999015686218232+2.400797690345685E-7i
6.768750009458534                                 0.9990157285360106+2.838908699635753E-7i
8.554672535565684                                 0.9990157857127007+3.2553895400553214E-7i
10.811807510766078                                0.9990158575991357+3.58738698488543E-7i
13.664483492953257                                0.9990159402549026+3.7707019581691605E-7i
17.26983290659436                                 0.9990160261624594+3.7677694228933485E-7i
21.826447283974872                                0.9990161067557326+3.5878991843796116E-7i
27.58531617629184                                 0.9990161757283097+3.281786756963092E-7i
34.863652276780876                                0.9990162307148268+2.9153995782372517E-7i
44.06236427773573                                 0.9990162726953314+2.544736493382102E-7i
55.68813990945273                                 0.999016304341645+2.2048364201759984E-7i
70.38135554931561                                 0.9990163286000576+1.9111677503763808E-7i
88.95134973108236                                 0.9990163479477943+1.665969959621537E-7i
112.42100350620873                                0.9990163641781019+1.4644399017869926E-7i
142.08308325339223                                0.9990163784552901+1.2990474787754594E-7i
179.5714494371641                                 0.999016391461199+1.1620376048918089E-7i
226.9510536694671                                 0.9990164035478084+1.0466547679384899E-7i
286.83168133420116                                0.9990164148630521+9.475860017572298E-8i
362.51170499885353                                0.9990164254437314+8.609725570302721E-8i
458.1597669054491                                 0.9990164352770817+7.842142756992538E-8i
579.0443980602489                                 0.9990164443379667+7.157055074202505E-8i
731.8242219076182                                 0.9990164526082528+6.545811855372825E-8i
924.9147277217335                                 0.9990164600842323+6.005116895050095E-8i
1168.9518164985777                                0.9990164667772753+5.535594275793082E-8i
1477.3776525985127                                0.9990164727109616+5.1409470726029604E-8i
1867.1810912919207                                0.9990164779173344+4.82763061031731E-8i
2359.8334667821937                                0.9990164824333156+4.6049525143732885E-8i
2982.471286216894                                 0.999016486296899+4.485517947794462E-8i
3769.3909753883636                                0.9990164895450562+4.485986457590931E-8i
4763.938010401341                                 0.9990164922120682+4.6281438612112624E-8i
6020.894493336138                                 0.9990164943283146+4.940286847884703E-8i
7609.496685459883                                 0.9990164959197825+5.458997152698683E-8i
9617.248711152964                                 0.9990164970079265+6.231369931094107E-8i
12154.742500762884                                0.9990164976100889+7.31783786612267E-8i
15361.749466718296                                0.9990164977399244+8.795734788474792E-8i
19414.919457438817                                0.9990164974091293+1.0763761761546981E-7i
24537.51106639822                                 0.9990164966290672+1.3347635865227768E-7i
31011.689265747817                                0.9990164954146017+1.6707216480123585E-7i
39194.06774847221                                 0.9990164937891214+2.1045523583254722E-7i
49535.352089591805                                0.9990164917934299+2.6620105229344296E-7i
62605.16572014828                                 0.9990164894990441+3.3757391577560524E-7i
79123.42618981327                                 0.9990164870305348+4.287076799624014E-7i
100000                                            0.9990164845994248+5.448338204369416E-7i
