% Model:              modelG_beltrami.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 28 2017, 20:20
% Table:              Tabelle 1 - sigma_eff ((dflux.u21-dflux.u22)*2*pi/(pi*L^2)/E0/(2*mu*c0))
% w                                               Normalized effective conductivity
0.1                                               0.9990197596151794+1.970187269510302E-9i
0.1263848202934298                                0.9990197596252086+2.4898992533299914E-9i
0.15973122800602543                               0.9990197596412883+3.146615757297248E-9i
0.2018760254679039                                0.9990197596669766+3.9763615887041016E-9i
0.25514065200312885                               0.9990197597078962+5.024543775942796E-9i
0.32245905452963947                               0.9990197597732918+6.348295828928474E-9i
0.4075392965871777                                0.9990197598775895+8.019322245360183E-9i
0.5150678076168125                                0.9990197600439689+1.0127219227752782E-8i
0.6509675230458171                                0.9990197603091088+1.2783196798046688E-8i
0.822724134170047                                 0.9990197607310498+1.6123713295974965E-8i
1.03979841848149                                  0.9990197614009658+2.0313163790221452E-8i
1.3141473626117568                                0.9990197624610175+2.554343232270695E-8i
1.6608827826277157                                0.9990197641290196+3.2026401095333476E-8i
2.0991037201085545                                0.9990197667320287+3.9972033427875844E-8i
2.6529484644318972                                0.9990197707421975+4.954071004418987E-8i
3.3529241492495583                                0.9990197768026245+6.07550054325385E-8i
4.237587160604064                                 0.9990197857070873+7.336089126138672E-8i
5.355666917706899                                 0.9990197982727674+8.665749122673819E-8i
6.768750009458534                                 0.9990198150451349+9.938572709600566E-8i
8.554672535565684                                 0.9990198358635352+1.0985849040348361E-7i
10.811807510766078                                0.9990198595390073+1.1648355477469486E-7i
13.664483492953257                                0.9990198840340628+1.1851192662828029E-7i
17.26983290659436                                 0.9990199072278315+1.1646086093271227E-7i
21.826447283974872                                0.9990199277556695+1.1181655683463305E-7i
27.58531617629184                                 0.9990199453223375+1.0628485424742656E-7i
34.863652276780876                                0.9990199604414501+1.0117316938626291E-7i
44.06236427773573                                 0.9990199739724648+9.717360932956609E-8i
55.68813990945273                                 0.9990199867593138+9.444243816070807E-8i
70.38135554931561                                 0.99901999944711+9.278446126705519E-8i
88.95134973108236                                 0.9990200124290223+9.182818439582927E-8i
112.42100350620873                                0.9990200258634848+9.1155454380613E-8i
142.08308325339223                                0.9990200397207342+9.038671369991646E-8i
179.5714494371641                                 0.9990200538397844+8.923074005364357E-8i
226.9510536694671                                 0.9990200679860659+8.750627194198502E-8i
286.83168133420116                                0.9990200819013745+8.514180555023812E-8i
362.51170499885353                                0.9990200953426273+8.216031263424932E-8i
458.1597669054491                                 0.9990201081067932+7.865598706919504E-8i
579.0443980602489                                 0.9990201200422475+7.476952738318767E-8i
731.8242219076182                                 0.9990201310502185+7.06666444020317E-8i
924.9147277217335                                 0.9990201410787168+6.652238752620121E-8i
1168.9518164985777                                0.9990201501138194+6.251199720932213E-8i
1477.3776525985127                                0.9990201581691892+5.880772866083865E-8i
1867.1810912919207                                0.9990201652770887+5.5580583560188425E-8i
2359.8334667821937                                0.9990201714807151+5.300587712254394E-8i
2982.471286216894                                 0.9990201768279571+5.12717296440012E-8i
3769.3909753883636                                0.9990201813674053+5.0590180355164954E-8i
4763.938010401341                                 0.9990201851449418+5.1210581355809924E-8i
6020.894493336138                                 0.9990201882023286+5.343593846773909E-8i
7609.496685459883                                 0.9990201905760505+5.7642188867135284E-8i
9617.248711152964                                 0.9990201922965553+6.430173667217772E-8i
12154.742500762884                                0.9990201933886316+7.401254496230431E-8i
15361.749466718296                                0.9990201938720303+8.753389545920119E-8i
19414.919457438817                                0.9990201937625638+1.0583111859916144E-7i
24537.51106639822                                 0.9990201930744722+1.3013131126554714E-7i
31011.689265747817                                0.9990201918231577+1.6199373449623423E-7i
39194.06774847221                                 0.9990201900310953+2.0339828645517037E-7i
49535.352089591805                                0.9990201877357919+2.56857155730955E-7i
62605.16572014828                                 0.9990201850035448+3.255553719817136E-7i
79123.42618981327                                 0.9990201819507237+4.1352787608172094E-7i
100000                                            0.9990201787773726+5.258826687133386E-7i
