% Model:              modelG_beltrami.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 28 2017, 21:54
% Table:              Tabelle 1 - sigma_eff ((dflux.u21-dflux.u22)*2*pi/(pi*L^2)/E0/(2*mu*c0))
% w                                               Normalized effective conductivity
0.1                                               0.999000082876916+4.994627673077821E-9i
0.1263848202934298                                0.9990000828815755+6.312442103546088E-9i
0.15973122800602543                               0.999000082888965+7.977950192149427E-9i
0.2018760254679039                                0.9990000829007881+1.0082880819028109E-8i
0.25514065200312885                               0.9990000829197068+1.2743155773192365E-8i
0.32245905452963947                               0.999000082949918+1.610526298158068E-8i
0.4075392965871777                                0.9990000829981555+2.0354301781242126E-8i
0.5150678076168125                                0.9990000830752279+2.572413030170051E-8i
0.6509675230458171                                0.9990000831982835+3.2510149441855514E-8i
0.822724134170047                                 0.9990000833948866+4.108537806499816E-8i
1.03979841848149                                  0.9990000837088521+5.1920602909784534E-8i
1.3141473626117568                                0.999000084210202+6.560951151964061E-8i
1.6608827826277157                                0.9990000850107066+8.289978106357532E-8i
2.0991037201085545                                0.999000086288542+1.047310135991502E-7i
2.6529484644318972                                0.9990000883275492+1.3227995675708047E-7i
3.3529241492495583                                0.9990000915790397+1.6701219306898996E-7i
4.237587160604064                                 0.9990000967590686+2.10736595282003E-7i
5.355666917706899                                 0.9990001049985103+2.656526211825709E-7i
6.768750009458534                                 0.9990001180717166+3.3436805649556085E-7i
8.554672535565684                                 0.9990001387327657+4.1984098424994905E-7i
10.811807510766078                                0.9990001711828866+5.25157568888957E-7i
13.664483492953257                                0.9990002216533725+6.529912728880359E-7i
17.26983290659436                                 0.9990002989707344+8.045106882341956E-7i
21.826447283974872                                0.9990004147085643+9.77482902997198E-7i
27.58531617629184                                 0.9990005820974154+1.163560994448598E-6i
34.863652276780876                                0.999000812519129+1.3455985402611615E-6i
44.06236427773573                                 0.9990011090387902+1.4973887890045076E-6i
55.68813990945273                                 0.999001459204234+1.5891309461731939E-6i
70.38135554931561                                 0.999001833109916+1.5990511537046355E-6i
88.95134973108236                                 0.9990021917910767+1.5246439367878358E-6i
112.42100350620873                                0.999002502185252+1.3840977726403425E-6i
142.08308325339223                                0.9990027477344808+1.206568934368576E-6i
179.5714494371641                                 0.9990029285529138+1.0198223090782263E-6i
226.9510536694671                                 0.9990030547984617+8.431995437993811E-7i
286.83168133420116                                0.9990031396990883+6.868558066172694E-7i
362.51170499885353                                0.9990031953652807+5.541688327851135E-7i
458.1597669054491                                 0.9990032312590786+4.4456726744604506E-7i
579.0443980602489                                 0.9990032541549351+3.5563036424544766E-7i
731.8242219076182                                 0.9990032686592661+2.8434401998809335E-7i
924.9147277217335                                 0.9990032778075145+2.2774563504959397E-7i
1168.9518164985777                                0.9990032835617167+1.8320489725436376E-7i
1477.3776525985127                                0.9990032871749565+1.4851282348296614E-7i
1867.1810912919207                                0.999003289441555+1.218805334442306E-7i
2359.8334667821937                                0.9990032908627966+1.0190181259279973E-7i
2982.471286216894                                 0.9990032917541808+8.750636629645748E-8i
3769.3909753883636                                0.9990032923139738+7.791627498834873E-8i
4763.938010401341                                 0.9990032926669579+7.261067808215348E-8i
6020.894493336138                                 0.9990032928919118+7.130104394456587E-8i
7609.496685459883                                 0.9990032930389665+7.391704690837556E-8i
9617.248711152964                                 0.9990032931409676+8.060369453132908E-8i
12154.742500762884                                0.9990032932206877+9.17297259612463E-8i
15361.749466718296                                0.9990032932959027+1.0790822703474595E-7i
19414.919457438817                                0.9990032933835199+1.3003039775601176E-7i
24537.51106639822                                 0.9990032935029185+1.5931479221558337E-7i
31011.689265747817                                0.9990032936809046+1.9737436695642922E-7i
39194.06774847221                                 0.9990032939572401+2.463053022260353E-7i
49535.352089591805                                0.999003294393609+3.088023337214222E-7i
62605.16572014828                                 0.9990032950874154+3.883069410015061E-7i
79123.42618981327                                 0.9990032961937494+4.891963952844015E-7i
100000                                            0.9990032979596188+6.170237800427429E-7i
