% Model:              modelJ.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 29 2017, 14:48
% Table:              Tabelle 1 - sigma_eff ((dflux.u21-dflux.u22)*2*pi/(pi*L^2)/E0/(2*mu*c0))
% w                                               Normalized effective conductivity
0.01                                              0.09945420611468508+2.7354026182587503E-5i
0.012638482029342977                              0.09945431501355617+3.457044276555065E-5i
0.01597312280060254                               0.09945448893696732+4.3689987198300206E-5i
0.02018760254679039                               0.09945476669707622+5.521386875328653E-5i
0.025514065200312887                              0.09945521034189007+6.977459564829536E-5i
0.03224590545296395                               0.09945591875335794+8.816965685615821E-5i
0.040753929658717776                              0.0994570498626495+1.1140311587131637E-4i
0.05150678076168125                               0.09945885535873941+1.4073621348949483E-4i
0.0650967523045817                                0.09946173617208977+1.7774737927102723E-4i
0.0822724134170047                                0.09946632980270843+2.2440017877899162E-4i
0.103979841848149                                 0.09947364713250688+2.831134550633476E-4i
0.13141473626117567                               0.09948528399811804+3.568188818909672E-4i
0.1660882782627716                                0.09950374238222677+4.489730360516806E-4i
0.20991037201085547                               0.09953290049933533+5.634567849768953E-4i
0.26529484644318974                               0.09957866219707424+7.042344928421421E-4i
0.3352924149249558                                0.09964975356988558+8.745525398575689E-4i
0.4237587160604063                                0.09975846370617995+0.0010753503472988532i
0.5355666917706899                                0.099920741774032+0.0013025443809662643i
0.6768750009458534                                0.10015445864108513+0.0015432255866513868i
0.8554672535565685                                0.10047420547030325+0.0017720703692322617i
1.0811807510766078                                0.10088204236451465+0.00195144478762621i
1.3664483492953259                                0.10135765899576084+0.0020397083635994777i
1.726983290659436                                 0.10185644546363871+0.002007758891187369i
2.182644728397487                                 0.10232188100364659+0.0018542149620344116i
2.7585316176291843                                0.10270608614960257+0.0016066901442596943i
3.4863652276780877                                0.1029836676213519+0.0013086190905274686i
4.406236427773573                                 0.1031520031853651+0.0010037097204370741i
5.568813990945273                                 0.10322415820185632+7.276298791747207E-4i
7.038135554931562                                 0.1032228774881993+5.061221151280138E-4i
8.895134973108236                                 0.10317754143103487+3.539289539832208E-4i
11.242100350620873                                0.10312044510950137+2.721167689212728E-4i
14.208308325339223                                0.10307962680035067+2.4688459641479055E-4i
17.957144943716408                                0.1030707597485019+2.53932607879242E-4i
22.695105366946706                                0.10309349792618991+2.6798828215918554E-4i
28.683168133420118                                0.10313526711669697+2.725886412012444E-4i
36.251170499885355                                0.10318063159186971+2.643698347698989E-4i
45.81597669054491                                 0.10322020111389055+2.49352474450163E-4i
57.90443980602489                                 0.10325307244395499+2.3482192892747278E-4i
73.18242219076181                                 0.10328265818878588+2.2385725647378922E-4i
92.49147277217335                                 0.10331162960374571+2.1577790130770434E-4i
116.89518164985776                                0.10334060049346852+2.0922047438477675E-4i
147.73776525985127                                0.10336944127771981+2.0352926774627376E-4i
186.71810912919207                                0.10339808389294992+1.9835616338550674E-4i
235.98334667821936                                0.10342637852453865+1.9337434045526035E-4i
298.2471286216894                                 0.10345403048939687+1.8843661386914868E-4i
376.93909753883634                                0.10348078387282411+1.8364276802328497E-4i
476.39380104013406                                0.10350656814252694+1.792012552242388E-4i
602.0894493336137                                 0.10353145169818216+1.752291437465424E-4i
760.9496685459883                                 0.1035554318132284+1.716842742846531E-4i
961.7248711152964                                 0.10357824369308914+1.685203140782303E-4i
1215.4742500762884                                0.10359936435752176+1.6594827785803732E-4i
1536.1749466718297                                0.10361820186083039+1.646074612026572E-4i
1941.4919457438816                                0.10363431333731334+1.655598395016595E-4i
2453.751106639822                                 0.10364752507702456+1.701819940460424E-4i
3101.168926574782                                 0.10365795245941523+1.800582107247488E-4i
3919.406774847221                                 0.10366595661858194+1.9690944785283147E-4i
4953.53520895918                                  0.10367205519695141+2.2256784729795883E-4i
6260.516572014828                                 0.10367679113251213+2.590308017969283E-4i
7912.342618981326                                 0.10368061377063831+3.086162322565629E-4i
10000                                             0.10368381607915439+3.7420454145594914E-4i
