% Model:              modelJ.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 29 2017, 13:31
% Table:              Tabelle 1 - sigma_eff ((dflux.u21-dflux.u22)*2*pi/(pi*L^2)/E0/(2*mu*c0))
% w                                               Normalized effective conductivity
0.01                                              0.12204617656880003+2.5386391092936157E-5i
0.012638482029342977                              0.1220465515680553+3.2071542230679246E-5i
0.01597312280060254                               0.12204714992382197+4.050734321359033E-5i
0.02018760254679039                               0.12204810385977365+5.1142309610074035E-5i
0.025514065200312887                              0.12204962280042538+6.452980969607561E-5i
0.03224590545296395                               0.12205203745608303+8.134233896187831E-5i
0.040753929658717776                              0.12205586474104832+1.0237666939915127E-4i
0.05150678076168125                               0.12206190405940416+1.2853592327895003E-4i
0.0650967523045817                                0.12207136570361606+1.6076249889170925E-4i
0.0822724134170047                                0.12208602562190185+1.9987802136685995E-4i
0.103979841848149                                 0.12210835435315008+2.462693701705626E-4i
0.13141473626117567                               0.12214149796912767+2.993694875106599E-4i
0.1660882782627716                                0.12218887492641937+3.569813948450728E-4i
0.20991037201085547                               0.12225313119273226+4.1476387253098086E-4i
0.26529484644318974                               0.12233450407546752+4.6656814436498584E-4i
0.3352924149249558                                0.1224294917850488+5.062727764479415E-4i
0.4237587160604063                                0.12253136945828398+5.306107681741493E-4i
0.5355666917706899                                0.12263307847140067+5.408666477982046E-4i
0.6768750009458534                                0.1227305844010052+5.416220508041952E-4i
0.8554672535565685                                0.12282397734993712+5.373800428957359E-4i
1.0811807510766078                                0.1229156387343519+5.297504054765466E-4i
1.3664483492953259                                0.12300710047477834+5.171341164368093E-4i
1.726983290659436                                 0.12309696759140538+4.969139256534196E-4i
2.182644728397487                                 0.12318147508007586+4.6832813438650887E-4i
2.7585316176291843                                0.12325707034371217+4.335232247693467E-4i
3.4863652276780877                                0.1233224445677694+3.9606271275571223E-4i
4.406236427773573                                 0.12337832543521045+3.588210210222523E-4i
5.568813990945273                                 0.12342598556821581+3.233264204355977E-4i
7.038135554931562                                 0.1234663708155768+2.9050852384622956E-4i
8.895134973108236                                 0.1235004368713916+2.6138422182235224E-4i
11.242100350620873                                0.12352970179956195+2.3678396104709126E-4i
14.208308325339223                                0.1235560070359345+2.166937826936955E-4i
17.957144943716408                                0.12358073002768416+2.0025167054431216E-4i
22.695105366946706                                0.12360444403700893+1.864255784673347E-4i
28.683168133420118                                0.12362727648286032+1.7450736862201503E-4i
36.251170499885355                                0.12364929698967098+1.640402957932605E-4i
45.81597669054491                                 0.12367053780815238+1.5463665436947372E-4i
57.90443980602489                                 0.12369092661145939+1.4600867827061227E-4i
73.18242219076181                                 0.12371037474193557+1.380309614052116E-4i
92.49147277217335                                 0.12372887947034596+1.3067606758290483E-4i
116.89518164985776                                0.12374652228073615+1.2389533510578712E-4i
147.73776525985127                                0.12376337426323973+1.1756074137262631E-4i
186.71810912919207                                0.12377939595518558+1.115108327455999E-4i
235.98334667821936                                0.12379441627840315+1.0565701461428626E-4i
298.2471286216894                                 0.12380818914825657+1.0007264754263732E-4i
376.93909753883634                                0.12382049317881011+9.501671857436528E-5i
476.39380104013406                                0.12383120404580114+9.09014527367575E-5i
602.0894493336137                                 0.12384033427877729+8.824269863617399E-5i
760.9496685459883                                 0.1238480531143665+8.761126405144584E-5i
961.7248711152964                                 0.123854687021447+8.957558073637847E-5i
1215.4742500762884                                0.12386068415962884+9.463741144274593E-5i
1536.1749466718297                                0.12386652429534253+1.0319360004791592E-4i
1941.4919457438816                                0.12387260960961899+1.1556326691443651E-4i
2453.751106639822                                 0.1238791586773264+1.3209352465268993E-4i
3101.168926574782                                 0.12388617337308769+1.5331501872485555E-4i
3919.406774847221                                 0.12389347487781671+1.8009823616960935E-4i
4953.53520895918                                  0.12390077030883295+2.1378169218752704E-4i
6260.516572014828                                 0.12390772672757493+2.562779343771037E-4i
7912.342618981326                                 0.1239140500520985+3.1017045728617835E-4i
10000                                             0.12391953579650676+3.7881000226042133E-4i
