% Model:              modelJ.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 29 2017, 13:46
% Table:              Tabelle 1 - sigma_eff ((dflux.u21-dflux.u22)*2*pi/(pi*L^2)/E0/(2*mu*c0))
% w                                               Normalized effective conductivity
0.01                                              0.11449114342034027+3.244239941343783E-5i
0.012638482029342977                              0.11449150128390836+4.099367541094842E-5i
0.01597312280060254                               0.11449207257866967+5.179244572689398E-5i
0.02018760254679039                               0.11449298448556151+6.542282245339144E-5i
0.025514065200312887                              0.1144944388620285+8.26140306028103E-5i
0.03224590545296395                               0.1144967565105175+1.0426962987760437E-4i
0.040753929658717776                              0.11450044502548114+1.3149545421379234E-4i
0.05150678076168125                               0.11450630258010332+1.65617283730467E-4i
0.0650967523045817                                0.11451557214706737+2.0816919137200938E-4i
0.0822724134170047                                0.11453016224875942+2.6081527222160725E-4i
0.103979841848149                                 0.11455293025128135+3.251376915034772E-4i
0.13141473626117567                               0.11458799085543167+4.0218480851975514E-4i
0.1660882782627716                                0.11464089322342919+4.916487405588703E-4i
0.20991037201085547                               0.11471832342915489+5.906117138512914E-4i
0.26529484644318974                               0.11482678186146449+6.921243624227171E-4i
0.3352924149249558                                0.11496980837445822+7.845696188179851E-4i
0.4237587160604063                                0.11514439384832947+8.533975399383799E-4i
0.5355666917706899                                0.11533908491352078+8.859926396926206E-4i
0.6768750009458534                                0.1155366447024217+8.77341666255028E-4i
0.8554672535565685                                0.11572052163868705+8.318744489540275E-4i
1.0811807510766078                                0.11588007419742269+7.598276114409961E-4i
1.3664483492953259                                0.11601082610273156+6.720307018344483E-4i
1.726983290659436                                 0.11611160051823581+5.777592826171323E-4i
2.182644728397487                                 0.11618292468066782+4.8579099101904715E-4i
2.7585316176291843                                0.1162282402422776+4.050983814564032E-4i
3.4863652276780877                                0.11625527057897708+3.427619788700625E-4i
4.406236427773573                                 0.11627447451214366+3.00763299634929E-4i
5.568813990945273                                 0.11629497236443297+2.7508111555800033E-4i
7.038135554931562                                 0.11632103806268593+2.5824215260781966E-4i
8.895134973108236                                 0.11635158206039259+2.4349718832548234E-4i
11.242100350620873                                0.11638267609567582+2.2783211325551081E-4i
14.208308325339223                                0.1164111174138348+2.120223257050456E-4i
17.957144943716408                                0.116436364111476+1.9822175908396387E-4i
22.695105366946706                                0.11645981054616893+1.8752626137261673E-4i
28.683168133420118                                0.1164828995724421+1.7946912433338303E-4i
36.251170499885355                                0.1165061646839265+1.7302853324575561E-4i
45.81597669054491                                 0.11652953832330018+1.6746365040009583E-4i
57.90443980602489                                 0.11655283859415973+1.6236617677139456E-4i
73.18242219076181                                 0.1165758958569017+1.5749112122627682E-4i
92.49147277217335                                 0.11659855692069458+1.5270525861928684E-4i
116.89518164985776                                0.11662071800223835+1.4795554757311816E-4i
147.73776525985127                                0.11664234803537539+1.432048798527334E-4i
186.71810912919207                                0.11666344711511376+1.3835634331903728E-4i
235.98334667821936                                0.11668394246845343+1.3322385765675027E-4i
298.2471286216894                                 0.11670357569532713+1.2761751883338634E-4i
376.93909753883634                                0.11672188625041229+1.2151406724197198E-4i
476.39380104013406                                0.11673834396024162+1.1519054344952423E-4i
602.0894493336137                                 0.1167525189824839+1.0923850073916217E-4i
760.9496685459883                                 0.11676421348730111+1.0448389063151095E-4i
961.7248711152964                                 0.11677352388513323+1.0186838975658486E-4i
1215.4742500762884                                0.11678084463247135+1.0231539634077355E-4i
1536.1749466718297                                0.11678678014237738+1.0661018544570678E-4i
1941.4919457438816                                0.1167919875073678+1.1535052484527148E-4i
2453.751106639822                                 0.1167970064800944+1.2900885367318296E-4i
3101.168926574782                                 0.1168021290622587+1.4809814712039355E-4i
3919.406774847221                                 0.11680737669065969+1.7338916888297055E-4i
4953.53520895918                                  0.11681257369413495+2.0611344465495314E-4i
6260.516572014828                                 0.11681746772877406+2.481080775607893E-4i
7912.342618981326                                 0.1168218462235532+3.018972337048483E-4i
10000                                             0.11682560040549135+3.7075295977122074E-4i
