% Model:              modelJ.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 29 2017, 14:24
% Table:              Tabelle 1 - sigma_eff ((dflux.u21-dflux.u22)*2*pi/(pi*L^2)/E0/(2*mu*c0))
% w                                               Normalized effective conductivity
0.01                                              0.10744932008187309+3.234537585524914E-5i
0.012638482029342977                              0.10744956811318904+4.087563464464543E-5i
0.01597312280060254                               0.10744996440149022+5.165250379316505E-5i
0.02018760254679039                               0.10745059694116506+6.526459175356614E-5i
0.025514065200312887                              0.1074516067462293+8.2451586552622E-5i
0.03224590545296395                               0.10745321803921726+1.0413984074882524E-4i
0.040753929658717776                              0.10745578750512703+1.3148303016390184E-4i
0.05150678076168125                               0.10745988093964996+1.6590495529762844E-4i
0.0650967523045817                                0.10746639203591378+2.0913665258946075E-4i
0.0822724134170047                                0.10747672273351691+2.6323012295764367E-4i
0.103979841848149                                 0.10749304917294272+3.305122326142618E-4i
0.13141473626117567                               0.10751869057734634+4.13409147593005E-4i
0.1660882782627716                                0.10755857003323514+5.140198273198922E-4i
0.20991037201085547                               0.10761966122404114+6.332560681955666E-4i
0.26529484644318974                               0.10771111247419904+7.693515933046301E-4i
0.3352924149249558                                0.10784340272047958+9.157336343413172E-4i
0.4237587160604063                                0.10802562438089733+0.001058914412393805i
0.5355666917706899                                0.10826049133945279+0.001178245701662702i
0.6768750009458534                                0.1085387962877286+0.0012500189663580043i
0.8554672535565685                                0.10883780330913673+0.0012561411580491138i
1.0811807510766078                                0.10912714479461354+0.0011924912827613694i
1.3664483492953259                                0.10937922902154111+0.0010703513138077187i
1.726983290659436                                 0.10957658376505738+9.105419715820712E-4i
2.182644728397487                                 0.1097128512152709+7.36296536970514E-4i
2.7585316176291843                                0.10979064316251648+5.691761679089917E-4i
3.4863652276780877                                0.10981982056490422+4.2713643795962917E-4i
4.406236427773573                                 0.10981628273162715+3.223495481157924E-4i
5.568813990945273                                 0.109799328274628+2.5847642359251555E-4i
7.038135554931562                                 0.10978671070206397+2.295045260015717E-4i
8.895134973108236                                 0.10978928281664851+2.2227860663504403E-4i
11.242100350620873                                0.10980843989730547+2.2223509094750706E-4i
14.208308325339223                                0.10983806429330617+2.1937450333981795E-4i
17.957144943716408                                0.10986988328402708+2.1107870634075863E-4i
22.695105366946706                                0.10989874020662532+2.0022192465477047E-4i
28.683168133420118                                0.1099241999065515+1.9055837954170483E-4i
36.251170499885355                                0.10994824385248254+1.8350665348829644E-4i
45.81597669054491                                 0.1099723439247825+1.7837858043653543E-4i
57.90443980602489                                 0.10999671644710547+1.742057748767574E-4i
73.18242219076181                                 0.11002117921496132+1.705523612890362E-4i
92.49147277217335                                 0.11004567469169277+1.6719168156648458E-4i
116.89518164985776                                0.11007013606708616+1.6385833149497176E-4i
147.73776525985127                                0.11009438107919177+1.6035307438399944E-4i
186.71810912919207                                0.11011821694307457+1.5662660235633076E-4i
235.98334667821936                                0.11014155521383902+1.5269390134427095E-4i
298.2471286216894                                 0.11016436739206073+1.4848426281846886E-4i
376.93909753883634                                0.11018650964198135+1.4381211853291696E-4i
476.39380104013406                                0.1102075855429309+1.385352191861388E-4i
602.0894493336137                                 0.11022699098411255+1.327797985171854E-4i
760.9496685459883                                 0.11024411268222505+1.2706200093286018E-4i
961.7248711152964                                 0.1102585341112576+1.2224503641722142E-4i
1215.4742500762884                                0.11027014530778938+1.1940473859946166E-4i
1536.1749466718297                                0.11027915836356311+1.1968820602603176E-4i
1941.4919457438816                                0.11028604870227973+1.2419840182749557E-4i
2453.751106639822                                 0.11029143764732663+1.3392571756558132E-4i
3101.168926574782                                 0.11029592857602238+1.4976665963221844E-4i
3919.406774847221                                 0.11029995873547846+1.7265014079173417E-4i
4953.53520895918                                  0.1103037251549497+2.0374990256959087E-4i
6260.516572014828                                 0.1103072133335834+2.4472329708586906E-4i
7912.342618981326                                 0.11031031387275309+2.979061330211798E-4i
10000                                             0.11031294742447346+3.664345425694389E-4i
