% Model:              modelI.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 29 2017, 12:55
% Table:              Tabelle 1 - sigma_eff ((dflux.u21-dflux.u22)*2*pi/(pi*L^2)/E0/(2*mu*c0))
% w                                               Normalized effective conductivity
0.01                                              0.09946017767400497+3.2212781399889355E-6i
0.012638482029342977                              0.09946017901304557+4.07120540444622E-6i
0.01597312280060254                               0.09946018114838374+5.145383265178316E-6i
0.02018760254679039                               0.09946018454816845+6.502978646393884E-6i
0.025514065200312887                              0.09946018999565479+8.218768225216216E-6i
0.03224590545296395                               0.0994601986852644+1.0387255998756543E-5i
0.040753929658717776                              0.09946021257396073+1.3127875529524641E-5i
0.05150678076168125                               0.09946023475119248+1.659156255357329E-5i
0.0650967523045817                                0.09946027018695204+2.0969056347266793E-5i
0.0822724134170047                                0.09946032678304569+2.650138097730257E-5i
0.103979841848149                                 0.0994604171766313+3.349307006275409E-5i
0.13141473626117567                               0.09946056155038357+4.232883920591632E-5i
0.1660882782627716                                0.09946079215167794+5.3494568221437343E-5i
0.20991037201085547                               0.0994611604486528+6.760364632769835E-5i
0.26529484644318974                               0.09946174860000179+8.542991363343499E-5i
0.3352924149249558                                0.09946268776219241+1.0794857981759535E-4i
0.4237587160604063                                0.09946418710916159+1.363865063704156E-4i
0.5355666917706899                                0.09946658001511038+1.722828626917996E-4i
0.6768750009458534                                0.09947039711948298+2.1756000246130394E-4i
0.8554672535565685                                0.09947648118910427+2.7460145882430697E-4i
1.0811807510766078                                0.09948616624009324+3.4632754644518674E-4i
1.3664483492953259                                0.09950155239069193+4.3624574043264774E-4i
1.726983290659436                                 0.09952591706443656+5.48426995832603E-4i
2.182644728397487                                 0.09956430381882843+6.873113693987862E-4i
2.7585316176291843                                0.09962430025419884+8.571665639806183E-4i
3.4863652276780877                                0.09971690806392172+0.0010609121892170448i
4.406236427773573                                 0.0998571341130732+0.0012979338031168192i
5.568813990945273                                 0.10006340683226979+0.0015606383808963171i
7.038135554931562                                 0.10035427139849151+0.0018302784844241868i
8.895134973108236                                 0.10074087298935105+0.002074436092725419i
11.242100350620873                                0.10121624179523674+0.0022507331811843167i
14.208308325339223                                0.10174784523321369+0.0023201746838962863i
17.957144943716408                                0.10228279021859775+0.0022654088795338425i
22.695105366946706                                0.1027668755951274+0.002100365059458338i
28.683168133420118                                0.10316462261044178+0.0018624643183460343i
36.251170499885355                                0.10346630884443493+0.0015945922448867527i
45.81597669054491                                 0.10368154511896424+0.0013307269481533897i
57.90443980602489                                 0.1038284934849805+0.0010911958055926081i
73.18242219076181                                 0.10392584354488815+8.847322872640755E-4i
92.49147277217335                                 0.1039890774599795+7.126308673313268E-4i
116.89518164985776                                0.1040296622608262+5.723317542115645E-4i
147.73776525985127                                0.1040555664704909+4.5975044554249296E-4i
186.71810912919207                                0.10407212951351054+3.7055376298427453E-4i
235.98334667821936                                0.10408286594850691+3.0075963554542136E-4i
298.2471286216894                                 0.10409008652952297+2.469595749794586E-4i
376.93909753883634                                0.10409533900157988+2.063489326531393E-4i
476.39380104013406                                0.10409970580002584+1.7666522664468024E-4i
602.0894493336137                                 0.10410398980674763+1.560855428934534E-4i
760.9496685459883                                 0.10410880797129927+1.4311440958439728E-4i
961.7248711152964                                 0.10411460539885894+1.3649409159123804E-4i
1215.4742500762884                                0.10412161798667247+1.3517091155426647E-4i
1536.1749466718297                                0.10412982803607512+1.3833148510656088E-4i
1941.4919457438816                                0.10413895166299046+1.4549168359888521E-4i
2453.751106639822                                 0.10414847339779036+1.5661673906799785E-4i
3101.168926574782                                 0.10415774982606082+1.7224914341295675E-4i
3919.406774847221                                 0.10416618653399519+1.935800779744784E-4i
4953.53520895918                                  0.10417340871382945+2.224087335671592E-4i
6260.516572014828                                 0.10417932033246376+2.610401194137604E-4i
7912.342618981326                                 0.10418403818845995+3.122395029651818E-4i
10000                                             0.10418777881202992+3.793138696719028E-4i
