% Model:              modelI.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 29 2017, 12:13
% Table:              Tabelle 1 - sigma_eff ((dflux.u21-dflux.u22)*2*pi/(pi*L^2)/E0/(2*mu*c0))
% w                                               Normalized effective conductivity
0.01                                              0.12692472394418047+9.09451158526848E-6i
0.012638482029342977                              0.1269247542365238+1.149386267649641E-5i
0.01597312280060254                               0.12692480266290218+1.4526054827193415E-5i
0.02018760254679039                               0.1269248799945692+1.8357834178027737E-5i
0.025514065200312887                              0.1269250035297431+2.319971084475426E-5i
0.03224590545296395                               0.12692520080621958+2.931727032660523E-5i
0.040753929658717776                              0.126925515751167+3.7045228496595236E-5i
0.05150678076168125                               0.12692601859775582+4.6804713632062916E-5i
0.0650967523045817                                0.12692682113772952+5.912413719408487E-5i
0.0822724134170047                                0.12692810127111676+7.466362539742623E-5i
0.103979841848149                                 0.1269301416204858+9.424200814785011E-5i
0.13141473626117567                               0.12693338940980486+1.1886321435879335E-4i
0.1660882782627716                                0.12693854859924464+1.497344840549791E-4i
0.20991037201085547                               0.1269467173321531+1.882601153254273E-4i
0.26529484644318974                               0.12695958477519853+2.3597861989253983E-4i
0.3352924149249558                                0.12697969007217136+2.9438480499085644E-4i
0.4237587160604063                                0.12701071110021944+3.645423755593768E-4i
0.5355666917706899                                0.12705765883246473+4.463655015157518E-4i
0.6768750009458534                                0.12712668339267308+5.374945415622431E-4i
0.8554672535565685                                0.12722399697957668+6.319496565600546E-4i
1.0811807510766078                                0.12735346245711796+7.193404121247881E-4i
1.3664483492953259                                0.12751321568921167+7.860530268507871E-4i
1.726983290659436                                 0.12769334582004982+8.193920415501639E-4i
2.182644728397487                                 0.12787740218328625+8.131848713521593E-4i
2.7585316176291843                                0.12804802955400166+7.709029737693505E-4i
3.4863652276780877                                0.12819313430745674+7.037520565146984E-4i
4.406236427773573                                 0.12830861793704768+6.254749087139805E-4i
5.568813990945273                                 0.12839709805326321+5.475919942122953E-4i
7.038135554931562                                 0.1284647208298984+4.7715004052104455E-4i
8.895134973108236                                 0.12851816426514223+4.167711021476025E-4i
11.242100350620873                                0.1285627190425577+3.659449095601949E-4i
14.208308325339223                                0.12860154133552382+3.227157417285606E-4i
17.957144943716408                                0.1286359407058321+2.8515546486238284E-4i
22.695105366946706                                0.12866629871511004+2.521013650167275E-4i
28.683168133420118                                0.1286929062864745+2.2305022287970558E-4i
36.251170499885355                                0.12871623595177104+1.9770266922991978E-4i
45.81597669054491                                 0.12873680354078584+1.7571044555122104E-4i
57.90443980602489                                 0.12875502963206767+1.5670099728234475E-4i
73.18242219076181                                 0.12877124301534787+1.4035246278095223E-4i
92.49147277217335                                 0.12878572483227108+1.26404915875153E-4i
116.89518164985776                                0.12879872774759+1.146459408767051E-4i
147.73776525985127                                0.12881048201044676+1.0490157996033447E-4i
186.71810912919207                                0.12882119832487784+9.702995280741289E-5i
235.98334667821936                                0.12883106737422592+9.091621525473466E-5i
298.2471286216894                                 0.12884025531912027+8.647080241520669E-5i
376.93909753883634                                0.1288488941473972+8.363422733814902E-5i
476.39380104013406                                0.1288570721147831+8.23943246065809E-5i
602.0894493336137                                 0.1288648349008048+8.281857029657359E-5i
760.9496685459883                                 0.12887221276419505+8.508974583441374E-5i
961.7248711152964                                 0.12887927269404337+8.951805299748347E-5i
1215.4742500762884                                0.12888616539404033+9.650960764958489E-5i
1536.1749466718297                                0.12889312465697852+1.0650681171638944E-4i
1941.4919457438816                                0.12890040474897974+1.1994907073459984E-4i
2453.751106639822                                 0.12890818110815797+1.3729881207628501E-4i
3101.168926574782                                 0.128916465491833+1.5914547135657174E-4i
3919.406774847221                                 0.12892507623409208+1.8636409295494656E-4i
4953.53520895918                                  0.12893367841542142+2.2028695371345308E-4i
6260.516572014828                                 0.1289418785276034+2.6284961745051547E-4i
7912.342618981326                                 0.12894933292964836+3.166897083782328E-4i
10000                                             0.1289558164051058+3.8521657095357795E-4i
