% Model:              modelI.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 29 2017, 12:37
% Table:              Tabelle 1 - sigma_eff ((dflux.u21-dflux.u22)*2*pi/(pi*L^2)/E0/(2*mu*c0))
% w                                               Normalized effective conductivity
0.01                                              0.10729483121878515+5.422236790277393E-6i
0.012638482029342977                              0.10729483967390797+6.852839228448675E-6i
0.01597312280060254                               0.107294853139206+8.660857857385556E-6i
0.02018760254679039                               0.10729487466670158+1.0945826445890084E-5i
0.025514065200312887                              0.10729490908383067+1.3833493293686158E-5i
0.03224590545296395                               0.10729496402253486+1.7482689388543403E-5i
0.040753929658717776                              0.10729505179882604+2.2093959384259912E-5i
0.05150678076168125                               0.10729519192696957+2.792037196020093E-5i
0.0650967523045817                                0.10729541560604655+3.528098207522469E-5i
0.0822724134170047                                0.10729577255388133+4.457744753236891E-5i
0.103979841848149                                 0.1072963418496829+5.63142306226405E-5i
0.13141473626117567                               0.10729724905870033+7.11225442610663E-5i
0.1660882782627716                                0.10729869270150065+8.978750306655876E-5i
0.20991037201085547                               0.10730098477664118+1.1327639199564976E-4i
0.26529484644318974                               0.1073046114074969+1.4276299037826177E-4i
0.3352924149249558                                0.10731031841111033+1.796376876663361E-4i
0.4237587160604063                                0.10731922527573076+2.2548550776808128E-4i
0.5355666917706899                                0.1073329551226844+2.820069948762361E-4i
0.6768750009458534                                0.10735374858893199+3.508604739380113E-4i
0.8554672535565685                                0.10738449927590879+4.334397196041706E-4i
1.0811807510766078                                0.1074286749227751+5.306797742953286E-4i
1.3664483492953259                                0.1074902365412234+6.430321672477938E-4i
1.726983290659436                                 0.10757389585599889+7.705526623939477E-4i
2.182644728397487                                 0.10768594663561293+9.125069225964404E-4i
2.7585316176291843                                0.10783503875691441+0.001065605423987766i
3.4863652276780877                                0.10803120134841364+0.0012208563713607772i
4.406236427773573                                 0.10828156151648527+0.0013609478126406526i
5.568813990945273                                 0.1085833780870845+0.0014615896619982166i
7.038135554931562                                 0.10891865704449534+0.0014992270577985631i
8.895134973108236                                 0.10925643203494095+0.0014623808833931122i
11.242100350620873                                0.10956389832293396+0.0013582627483497616i
14.208308325339223                                0.10981881852453752+0.0012088033841585661i
17.957144943716408                                0.1100144053226591+0.0010399773350311934i
22.695105366946706                                0.11015590703529955+8.728652863924801E-4i
28.683168133420118                                0.11025420299865402+7.203957643228595E-4i
36.251170499885355                                0.11032080631407372+5.883214838684834E-4i
45.81597669054491                                 0.11036539825540786+4.776674773465006E-4i
57.90443980602489                                 0.11039520868158297+3.8696173374180447E-4i
73.18242219076181                                 0.11041529244019907+3.1372291208921996E-4i
92.49147277217335                                 0.11042906005419889+2.552791616595789E-4i
116.89518164985776                                0.11043877577376261+2.091545602715096E-4i
147.73776525985127                                0.11044594456722882+1.7321603442050948E-4i
186.71810912919207                                0.11045158841942382+1.4569672704721313E-4i
235.98334667821936                                0.1104564332969843+1.2515914259019316E-4i
298.2471286216894                                 0.11046102554330318+1.1043184398490414E-4i
376.93909753883634                                0.11046579014856847+1.0054043402326989E-4i
476.39380104013406                                0.11047104156131828+9.465283688785498E-5i
602.0894493336137                                 0.1104769650217839+9.205786184675308E-5i
760.9496685459883                                 0.11048359613187056+9.21817358677218E-5i
961.7248711152964                                 0.11049081594894818+9.462935645150384E-5i
1215.4742500762884                                0.11049836550109535+9.924168316686117E-5i
1536.1749466718297                                0.11050589241235936+1.061652642628658E-4i
1941.4919457438816                                0.11051304394345979+1.1589972096734917E-4i
2453.751106639822                                 0.11051956730098751+1.2928202492815138E-4i
3101.168926574782                                 0.11052535191708092+1.474266351961568E-4i
3919.406774847221                                 0.11053039601975571+1.7169070109318248E-4i
4953.53520895918                                  0.11053474164177052+2.037139738213542E-4i
6260.516572014828                                 0.11053843400456136+2.4552587089525106E-4i
7912.342618981326                                 0.11054152014293553+2.9967987527327217E-4i
10000                                             0.11054406149925634+3.693967903092035E-4i
